Category B Theory test revision question bank February 2025,,,,,,,,,,,,,,,,,,,,,,
Item,Topic,Answer,Stem,Mark Answer,OptionA,OptionB,OptionC,OptionD,Expl text,List Amendments,NI Exempt,Stem.gif,A.gif,B.gif,C.gif,D.gif,Stem HiRes,A HiRes,B HiRes,C HiRes,D HiRes,Cat B Book XRefs
AB2232,Motorway rules ,C,Your vehicle breaks down on a motorway and you need to call for help. Why might it be better to use an emergency roadside telephone rather than a mobile phone?,Mark one answer,It connects you to a local garage,Using a mobile phone will distract other drivers,It allows easy location by the emergency services,Mobile phones do not work on motorways,"On a motorway, it's best to use a roadside emergency telephone so that the emergency services are able to find you easily. The location of the nearest telephone is shown by an arrow on marker posts at the edge of the hard shoulder. If you use a mobile, find out the number on the nearest marker post before you call. This number will let the operator know where you are and in which direction you're travelling.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s15, HC r283"
AB2236,Motorway rules ,C,"Your vehicle broke down on the hard shoulder of a motorway, but has now been repaired. How should you rejoin the main carriageway?",Mark one answer,"Move out onto the carriageway, then build up your speed",Move out onto the carriageway using your hazard warning lights,Gain speed on the hard shoulder before moving out onto the carriageway,Wait on the hard shoulder until someone flashes their headlights at you,Signal your intention and build up sufficient speed on the hard shoulder so that you can filter into a safe gap in the traffic. Do not push your way into a small gap or cause other traffic to alter speed or direction.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s15, HC r278"
AB2237,Motorway rules ,A,You're travelling along a motorway. Where would you find a crawler or climbing lane? ,Mark one answer,On a steep gradient,Before a service area,Before a junction,Along the hard shoulder,"Large, slow-moving vehicles can hinder the progress of other traffic. On a steep gradient, an extra crawler lane may be provided for slow-moving vehicles to allow faster-moving traffic to flow more easily.",29/01/2016:  Continuation question re-written for accessibility,,AB2237.gif,,,,,TS4503.eps,,,,,DES s11
AB2241,Motorway rules ,C,What do these motorway signs mean?,Mark one answer,They're countdown markers to a bridge,They're distance markers to the next telephone,They're countdown markers to the next exit,They warn of a police control ahead,"The exit from a motorway is indicated by countdown markers. These are positioned 90 metres (100 yards) apart, the first being 270 metres (300 yards) from the start of the slip road. Move into the left-hand lane well before you reach the start of the slip road.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,AB2241.gif,,,,,TS4049.tif,,,,,"?DES s11, HC p132, KYTS p93"
AB2242,Motorway rules ,C,Where are amber reflective studs found on a motorway?,Mark one answer,Between the hard shoulder and the carriageway,Between the acceleration lane and the carriageway,Between the central reservation and the carriageway,Between each pair of lanes,"On motorways, reflective studs of various colours are fixed in the road between the lanes. These help you to identify which lane you're in when it's dark or in poor visibility. Amber-coloured studs are found on the right-hand edge of the main carriageway, next to the central reservation.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r132"
AB2243,Motorway rules ,C,What colour are the reflective studs between the lanes on a motorway?,Mark one answer,Green,Amber,White,Red,"White studs are found between the lanes on motorways. They reflect back the light from your headlights. This is especially useful in bad weather, when visibility is restricted.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r132"
AB2244,Motorway rules ,C,What colour are the reflective studs between a motorway and a slip road?,Mark one answer,Amber,White,Green,Red,"The studs between the carriageway and the hard shoulder are normally red. These change to green where there's a slip road, helping you to identify slip roads when visibility is poor or when it's dark.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r132"
AB2525,Motorway rules ,C,Your vehicle has broken down on a motorway. In which direction should you walk to find the nearest emergency telephone?,Mark one answer,With the traffic flow,Facing oncoming traffic,In the direction shown on the marker posts,In the direction of the nearest exit,Along the hard shoulder there are marker posts at 100-metre intervals. These will direct you to the nearest emergency telephone.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s15, HC r277"
AB2573,Motorway rules ,C,Why is it important to make full use of the slip road as you join a motorway?,Mark one answer,Because there's space available to turn round if you need to,To allow you direct access to the overtaking lanes,To allow you to fit safely into the traffic flow in the left-hand lane,Because you can continue on the hard shoulder,"Try to join the motorway without affecting the progress of the traffic in the left-hand lane and always give way to traffic already on the motorway. At busy times, you may have to slow down to merge into slow-moving traffic.",25/7/2019:  Change following 2019 review,,,,,,,,,,,,"DES s11, HC r259"
AB2575,Motorway rules ,B,How should you position yourself when you use the emergency telephone on a motorway?,Mark one answer,Stay close to the carriageway,Face the oncoming traffic,Keep your back to the traffic,Stand on the hard shoulder,"Traffic is passing you at speed. If the draught from a large lorry catches you by surprise, it could blow you off balance and even onto the carriageway. By facing the oncoming traffic, you can see approaching lorries and so be prepared for their draught. You'll also be in a position to see any other hazards approaching.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s15, HC r277"
AB2576,Motorway rules ,B,What colour are the reflective studs between the hard shoulder and the left-hand lane of a motorway?,Mark one answer,Green,Red,White,Amber,"Red studs are placed between the edge of the carriageway and the hard shoulder. Where slip roads leave or join the motorway, the studs are green.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r132"
AB2609,Motorway rules ,A,"On a three-lane motorway, which lane should you use if there's no traffic ahead?",Mark one answer,Left,Right,Centre,Either the right or centre,"On a three-lane motorway, you should travel in the left-hand lane unless you’re overtaking. This applies regardless of the speed at which you’re travelling.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r264"
AB2611,Motorway rules ,B,What should you do when going through a contraflow system on a motorway?,Mark one answer,Use dipped headlights,Keep a good distance from the vehicle ahead,Switch lanes to keep the traffic flowing,Stay close to the vehicle ahead to reduce queues,"At roadworks, and especially where a contraflow system is operating, a speed restriction is likely to be in place. Keep to the lower speed limit and do not
• switch lanes
• get too close to the vehicle in front of you.
Be aware that there will be no permanent barrier between you and the oncoming traffic.","29/01/2016:  Continuation question re-written for accessibility
11/7/2018:  Existing image not of a contraflow system sign.
23/7/2018:  Changing the road sign has caused Option A to become correct.
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,AB2611n1.gif,,,,,TS4578.eps,,,,,"DES s11, HC r290"
AB2612,Motorway rules ,D,You're on a three-lane motorway. Which lane are you in if there are red reflective studs on your left and white ones to your right?,Mark one answer,In the right-hand lane,In the middle lane,On the hard shoulder,In the left-hand lane,"The colours of the reflective studs on the motorway and their locations are
• red – between the hard shoulder and the carriageway
• white – between lanes
• amber – between the carriageway and the central reservation
• green – along slip-road exits and entrances
• bright green/yellow – at roadworks and contraflow systems.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r132"
AB2694,Motorway rules ,C,What should you do when you're approaching roadworks on a motorway?,Mark one answer,Speed up to clear the area quickly,Always use the hard shoulder,Obey the speed limit,Stay very close to the vehicle in front,Be aware of reduced speed limits at roadworks. Speed limits shown inside a red circle are mandatory and cameras are often used to enforce the reduced limit. Slow down in good time and keep your distance from the vehicle in front.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r288"
AB2743,Motorway rules ,A,Which vehicles are prohibited from using the motorway?,Mark one answer,Powered mobility scooters,Motorcycles over 50 cc,Double-deck buses,Cars with automatic transmission,"Motorways must not be used by pedestrians, cyclists, motorcycles under 50 cc, certain slow-moving vehicles without permission, and powered wheelchairs/mobility scooters.","7/8/2015:  Amended made during the global change to 'Mark one answer'
27/1/2016:  Edit as part of the work to remove upper case words
14/9/2017:  Changed to allow for learners being allowed onto motorways from 2018.
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s11, HC r253"
AB2744,Motorway rules ,A,What should you do while you're driving or riding along a motorway?,Mark one answer,Look much further ahead than you would on other roads,Travel much faster than you would on other roads,Maintain a shorter separation distance than you would on other roads,Concentrate more than you would on other roads,Traffic on motorways usually travels faster than on other roads. You need to be looking further ahead to give yourself more time to react to any hazard that may develop.,"7/8/2015:  Amended made during the global change to 'Mark one answer'
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,HC r254
AB2745,Motorway rules ,D,What should you do immediately after joining a motorway?,Mark one answer,Try to overtake,Re-adjust your mirrors,Position your vehicle in the centre lane,Stay in the left-hand lane,"When you've just joined a motorway, stay in the left-hand lane long enough to get used to the higher speeds of motorway traffic before considering overtaking.","11/2/2016:  Item edited during Review Feb 2016 and added to Car bank from Motorcycle bank
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r259"
AB2746,Motorway rules ,B,When would you use the right-hand lane on a three-lane motorway?,Mark one answer,When you're turning right,When you're overtaking,When you're travelling above the speed limit,When you're trying to save fuel,The right-hand lane of the motorway is for overtaking. Sometimes you may be directed into a right-hand lane as a result of roadworks or a traffic incident. This will be indicated by signs or officers directing the traffic.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
24/1/2020:  Option C changed to work better as a car or motorcycle item",,,,,,,,,,,,"DES s11, HC r267"
AB2747,Motorway rules ,A,You're on a motorway. The hard shoulder is not being used as a running lane. When should you use the hard shoulder?,Mark one answer,When you're stopping in an emergency,When you're leaving the motorway,When you're stopping for a rest,When you're joining the motorway,"Do not use the hard shoulder for stopping unless it's an emergency. If you want to stop for any other reason, go to the next exit or service area.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
21/4/2023:  Stem changed to remove reference to ‘smart’
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s11, HC r269, 271"
AB2748,Motorway rules ,A,You're in the right-hand lane of a three-lane motorway. What do these overhead signs mean?,Mark one answer,Move to the left and reduce your speed to 50 mph,There are roadworks 50 metres (55 yards) ahead,Use the hard shoulder until you've passed the hazard,Leave the motorway at the next exit,You must obey these signs even if there appear to be no problems ahead. There could be queuing traffic or another hazard that you cannot see yet.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS
25/9/2024:  Remove negative contraction",,AB2748.gif,,,,,TS4063.eps,,,,,"HC p122, KYTS p105"
AB2749,Motorway rules ,C,When are you allowed to stop on a motorway?,Mark one answer,When you need to walk and get fresh air,When you wish to pick up hitchhikers,When you're signalled to do so by traffic signals,When you need to use a mobile telephone,"You must stop if overhead gantry signs show a red cross above every lane on the motorway. If any of the other lanes does not show a red cross, you may move into that lane and continue if it's safe to do so.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"?DES s11, HC r271"
AB2750,Motorway rules ,B,You're travelling in the left-hand lane of a three-lane motorway. How should you react to traffic joining from a slip road? ,Mark one answer,Increase your speed to make sure they join behind you,Adjust your speed or change lane if you can do so safely,Maintain a steady speed,Switch on your hazard warning lights,"Plan well ahead when approaching a slip road. If you see traffic joining the motorway, be prepared to adjust your speed or move to another lane if it's safe to do so. This can help the flow of traffic joining the motorway, especially at peak times.","29/01/2016:  Continuation question re-written for accessibility
5/4/2019:  Option B and explanation amended following complaint from S J Hennah
25/7/2019:  Change following 2019 review
7/2/2025:  Ensure to make sure",,,,,,,,,,,,DES s11
AB2751,Motorway rules ,B,How should you use the lanes on a motorway?,Mark one answer,Use the lane that has the least traffic,Keep to the left-hand lane unless you're overtaking,Overtake using the lane that’s clearest,Stay in one lane until you reach your exit,"You should normally travel in the left-hand lane unless you're overtaking a slower-moving vehicle. When you've finished overtaking, move back into the left-hand lane, but do not cut across in front of the vehicle that you’ve overtaken.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s11, HC r264"
AB2752,Motorway rules ,D,You're travelling along a motorway. When are you allowed to overtake on the left?,Mark one answer,When you can see well ahead that the hard shoulder is clear,When the traffic in the right-hand lane is signalling right,When you warn drivers behind by signalling left,When in queues and traffic to your right is moving more slowly than you are ,"Never overtake on the left, unless the traffic is moving in queues and the queue on your right is moving more slowly than the one you're in.",29/01/2016:  Continuation question re-written for accessibility,,,,,,,,,,,,"DES s11, HC r268"
AB2786,Motorway rules ,A,When would you use an emergency area on a motorway?,Mark one answer,In cases of emergency or breakdown,If you think you'll be involved in a road rage incident,To stop and check where you are,To make a private phone call,"On some motorways, emergency areas are built at the side of the carriageway. If you break down, try to get your vehicle into the emergency area where there's an emergency telephone. The phone connects directly to a control centre. Before rejoining the motorway, you must call the control centre - a lane may need to be closed to allow you to rejoin safely.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
21/4/2023:  Edited to remove ‘smart’ and ‘refuge’",,,,,,,,,,,,"DES s11, HC r270"
AB2788,Motorway rules ,D,Traffic officers operate on motorways and some primary routes in England and Wales. What are they authorised to do?,Mark one answer,Stop and arrest drivers who break the law,Repair broken-down vehicles on the motorway,Issue fixed penalty notices,Stop and direct anyone on a motorway,"Traffic officers do not have enforcement powers but are able to stop and direct people on motorways and some ‘A’ class roads. They operate in England and Wales and work in partnership with the police at incidents, providing a highly trained and visible service. They're recognised by an orange-and-yellow jacket and their vehicle has yellow-and-black markings. ","3/2/2015:  Question rewritten due to Highways Agency change to Highways England and their England only remit
10/2/2015:  Removed NI EX
09/02/2016:  AB and BB Items edited by TSO for style
26/4/2018:  Changed to account for Rule 108 correction.
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,AB2788n.gif,,,,,IMG_1666.jpg,,,,,"DES s11, HC r108, p125"
AB2789,Motorway rules ,D,You're on a motorway. What does it mean when a red cross is displayed above the hard shoulder?,Mark one answer,Pull up in this lane to answer your mobile phone,Use this lane as a running lane,This lane can be used if you need a rest,You must not travel in this lane,"At certain times, the hard shoulder will be open as a running lane. However, a red cross above the hard shoulder shows that it is not open as a running lane and should only be used for emergencies and breakdowns.","10/2/2015:  Removed NI EX
09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
27/9/2021:  Option D modified to accurately reflect Highway Code Rule 258
21/4/2023:  Stem and explanation edited to remove term ‘smart’ as its no longer used.
13/9/2023:  Remove negative contraction from explanation",,AB2789.gif,,,,,TS4748.tif,,,,,"DES s11, HC r258, 269"
AB2790,Motorway rules ,B,You're on a motorway. What does it mean when a mandatory speed limit is displayed above the hard shoulder?,Mark one answer,You should not travel in this lane,The hard shoulder can be used as a running lane,You can park on the hard shoulder if you feel tired,You can pull up in this lane to answer a mobile phone,A mandatory speed-limit sign above the hard shoulder shows that this part of the road can be used as a running lane between junctions. You must stay within the speed limit. Look out for vehicles that may have broken down and could be blocking the hard shoulder.,"10/2/2015:  Removed NI EX
09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
21/4/2023:  Stem edited to remove the term ‘smart’ as its no longer used.
25/9/2024:  Remove negative contraction",,AB2790.gif,,,,,TS4747.tif,,,,,"DES s11, HC r269"
AB2792,Motorway rules ,D,How is bunching reduced on motorways?,Mark one answer,By using higher speed limits,By using advisory speed limits,By using minimum speed limits,By using variable speed limits,"You must follow the mandatory signs on the gantries above motorway lanes, including the hard shoulder. Variable speed limits help keep the traffic moving and also help to prevent bunching. ","10/2/2015:  Removed NI EX
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
21/4/2023:  Stem and explanation changed to remove the term ‘smart’ as its no longer used.
20/3/2024:  Stem amended following licensee coment.",,,,,,,,,,,,DES s11
AB2839,Motorway rules ,A,What helps to reduce traffic bunching on a motorway?,Mark one answer,Variable speed limits,Contraflow systems,National speed limits,Lane closures,"Congestion can be reduced by keeping traffic at a constant speed. At busy times, maximum speed limits are displayed on overhead gantries. These can be varied quickly, depending on the amount of traffic. By keeping to a constant speed on busy sections of motorway, overall journey times are normally improved.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s18, HC r261"
AB2843,Motorway rules ,D,When may you stop on a motorway?,Mark one answer,If you have to read a map,When you're tired and need a rest,If your mobile phone rings,In an emergency or breakdown,"You should not normally stop on a motorway, but there may be occasions when you need to do so. If your vehicle breaks down or there's an emergency, stop on the hard shoulder and use the emergency telephones to call for assistance.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s11, HC r271"
AB2845,Motorway rules ,C,What's the national speed limit for a car or motorcycle on a motorway?,Mark one answer,50 mph,60 mph,70 mph,80 mph,"The national speed limit for a car or motorcycle on a motorway is 70 mph. Lower speed limits may be in force; for example, at roadworks. Variable speed limits also operate in some areas when the motorway is very busy. Cars or motorcycles towing trailers are subject to a lower speed limit.","10/2/2015:  Removed NI EX
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,HC p48
AB2846,Motorway rules ,b,You stop on the hard shoulder of a motorway and use the emergency telephone. Where's the best place to wait for help to arrive?,Mark one answer,Next to the phone,Well away from the carriageway,With your vehicle,On the hard shoulder,"When you're on the hard shoulder, you're at risk of being injured by motorway traffic. The safest place to wait is away from the carriageway, but near enough to see the emergency services arriving.","15/7/2014:  Option B: An Highways Agency changed to A Highways Agency
25/2/2015:  Complete rewrite due to Highways Agency name change and the relevance of the question.
02/06/2016:  AB Items in Mc QB following 2016 review
26/9/2019:  AB item from motorcycle bank added to car bank",,,,,,,,,,,,"DES s15, HC r277"
AB2852,Motorway rules ,D,You're on a motorway. What must you do if there's a red cross showing above every lane?,Mark one answer,Pull onto the hard shoulder,Slow down and watch for further signals,Leave at the next exit,Stop and wait,A red cross signal above all lanes means you must stop and wait. Do not change lanes and do not try to continue any further along the motorway.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
3/3/2020:  Correction to explanation - mean changed to means.
23/11/2023:  Updates to cross references after new KYTS
25/9/2024:  Remove negative contractions",,AB2852n.gif,,,,,Gantry_cross_all_lanes.tif,,,,,"DES s11, HC r258, p122, KYTS p104"
AB2856,Motorway rules ,B,You're on a motorway. What does it mean if a red cross is showing above the hard shoulder and mandatory speed limits above all other lanes?,Mark one answer,The hard shoulder can be used as a rest area if you feel tired,The hard shoulder is for emergency or breakdown use only,The hard shoulder can be used as a normal running lane ,The hard shoulder has a speed limit of 50 mph,"A red cross above the hard shoulder shows that it's closed as a running lane and should only be used for emergencies or breakdowns. On some motorways, the hard shoulder may be used as a running lane at busy times. This will be shown by a mandatory speed limit on the gantry above the hard shoulder.","10/2/2015:  Removed NI EX
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
21/4/2023:  Stem and explanation changed to remove the term ‘smart’ as its no longer used.",,AB2856.gif,,,,,TS4749.tif,,,,,"DES s11, HC r269"
AB2857,Motorway rules ,D,What does this motorway sign mean?,Mark one answer,Use any lane except the hard shoulder,Use the hard shoulder only,Use the three right-hand lanes only,"Use all the lanes, including the hard shoulder","You must obey mandatory speed-limit signs above motorway lanes, including the hard shoulder. In this case, you can use the hard shoulder as a running lane but you should look for any vehicles that may have broken down and may be blocking the hard shoulder.","10/2/2015:  Removed NI EX
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
21/4/2023:  Stem changed to remove the term ‘smart’ as its no longer used.",,AB2857.gif,,,,,TS4750.tif,,,,,"DES s11, HC r269"
AB2882,Motorway rules ,B,Where should you stop to rest if you feel tired while you're travelling along a motorway?,Mark one answer,On the hard shoulder,At the nearest service area,On a slip road,On the central reservation,"If you feel tired, stop at the nearest service area. If that's too far away, leave the motorway at the next exit and find a safe place to stop. You must not stop on the carriageway or hard shoulder of a motorway except in an emergency, when in a traffic queue, or when signalled to do so by a police officer, a traffic officer or traffic signals. Plan your journey so that you have regular rest stops.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s11, HC r91"
AB2950,Motorway rules,A,You have stopped in an emergency area. What must you do before you rejoin the carriageway?,Mark one answer,Use the emergency telephone,Give an arm signal as you are moving off,Switch on your vehicle's headlights,Move away with your hazard lights on,"To rejoin the carriageway from an emergency area, you must use the emergency telephone and follow the operator's advice. A lane may have to be closed so that you can rejoin the carriageway safely.",8/2/2022:  New Item,NI EXEMPT,,,,,,,,,,,HC r278
AB2951,Motorway rules,A,How should you rejoin the motorway after a breakdown on the hard shoulder?,Mark one answer,Build up speed on the hard shoulder before looking for a safe gap in the traffic,Move straight out into the left-hand lane as you are not allowed to drive on the hard shoulder,Wait until a vehicle in the left-hand lane signals to you that it's safe to rejoin,Keep your hazard lights flashing until you have safely rejoined the carriageway,"To rejoin a motorway from the hard shoulder, you first need to build up speed on the hard shoulder. You can then look for a safe gap in the traffic in the left-hand lane. Watch for traffic that may be returning from a lane on the right into the left-hand lane.",8/2/2022:  New Item,,,,,,,,,,,,HC r278
BB1193,Motorway rules ,C,What's the speed limit for a car towing a trailer on a motorway?,Mark one answer,40 mph,50 mph,60 mph,70 mph,"If you’re towing a small, light trailer, it will not reduce your vehicle’s performance by very much and it may not be visible in your mirrors. However, strong winds or buffeting from large vehicles might cause the trailer to snake from side to side. Be aware of your speed and do not exceed the reduced speed limit imposed on vehicles towing trailers.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contractions",,,,,,,,,,,,"DES s19, HC p48"
BB1197,Motorway rules ,D,When should you use the left-hand lane of a motorway?,Mark one answer,When your vehicle breaks down,When you're overtaking slower traffic in the other lanes,When you're making a phone call,When the road ahead is clear,You should drive in the left-hand lane whenever possible. Only use the other lanes for overtaking or when directed to do so by signals. Using other lanes when the left-hand lane is empty can frustrate drivers behind you.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r264"
BB1198,Motorway rules ,A,You're driving on a motorway and have to slow down suddenly due to a hazard ahead. How can you warn drivers behind of the hazard?,Mark one answer,Switch on your hazard warning lights,Switch on your headlights,Sound your horn,Flash your headlights,"Using your hazard warning lights, as well as your brake lights, will give the traffic behind an extra warning of the problem ahead. Only use them for long enough for your warning to be seen.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r116"
BB1199,Motorway rules ,B,Your car gets a puncture while you're driving on the motorway. What should you do when you've stopped on the hard shoulder?,Mark one answer,Carefully change the wheel yourself,Use an emergency telephone and call for help,Try to wave down another vehicle for help,Only change the wheel if you have a passenger to help you,"Park as far to the left as you can and leave the vehicle by the nearside door. Do not attempt even simple repairs. Instead, walk to an emergency telephone on your side of the road and phone for help. While waiting for help to arrive, stay by your car, keeping well away from the carriageway and hard shoulder.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s15, HC r277"
BB1204,Motorway rules ,B,What should you do if you're driving on a motorway and you miss the exit that you wanted to take?,Mark one answer,Carefully reverse along the hard shoulder,Carry on to the next exit,Carefully reverse in the left-hand lane,Make a U-turn at the next gap in the central reservation,"It's illegal to reverse, cross the central reservation or drive against the traffic flow on a motorway. If you miss your exit, carry on until you reach the next one. Ask yourself why you missed your exit – if you think that your concentration is fading, take a break before continuing your journey.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r263"
BB1481,Motorway rules ,A,Your vehicle has broken down on a motorway. What should you do if you’re not able to get onto the hard shoulder?,Mark one answer,Switch on your hazard warning lights,Stop the traffic behind and ask for help,Attempt to repair your vehicle quickly,Stand behind your vehicle to warn others,"If you cannot get your vehicle onto the hard shoulder, use your hazard warning lights to warn others. Leave your vehicle only when you can safely get clear of the carriageway. Do not try to repair the vehicle or attempt to place any warning device on the carriageway.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contractions",,,,,,,,,,,,"DES s15, HC r277"
BB1520,Motorway rules ,D,Why is it particularly important to check your vehicle before making a long motorway journey?,Mark one answer,You'll have to do more harsh braking on motorways,Motorway services areas do not deal with breakdowns,The road surface will wear down the tyres faster,Continuous high speeds increase the risk of your vehicle breaking down,"Before you start your journey, make sure that your vehicle can cope with the demands of high-speed driving. You should check a number of things; the main ones being fuel, oil, water and tyres. You also need to plan rest stops if you’re making a long journey.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,DES s11
BB1523,Motorway rules ,C,You're driving on a motorway. What does it mean if the car in front shows its hazard warning lights for a short time?,Mark one answer,The driver wants you to overtake,The other car is going to change lanes,Traffic ahead is slowing or stopping suddenly,There's a police speed check ahead,"If the vehicle in front shows its hazard warning lights, there may be an incident, stopped traffic or queuing traffic ahead. By keeping a safe distance from the vehicle in front, you're able to look beyond it and see any hazards well ahead.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s11, HC r116"
BB1525,Motorway rules ,B,You're driving on the motorway. Which lane should you get into well before you reach your exit?,Mark one answer,The middle lane,The left-hand lane,The hard shoulder,The right-hand lane,"You’ll see the first advance direction sign one mile from a motorway exit. If you’re travelling at 60 mph in the right-hand lane, you’ll only have about 50 seconds before you reach the countdown markers. There'll be another sign at the half-mile point. Do not cut across lanes of traffic at the last moment – move to the left-hand lane in good time.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"?DES s11, HC r273"
BB1618,Motorway rules ,C,What restrictions apply to people who have a provisional driving licence?,Mark one answer,They cannot drive over 30 mph,They cannot drive at night,They cannot drive unaccompanied,They cannot drive with more than one passenger,"You will not be able to drive unaccompanied until you've passed your practical driving test. If you’ve not driven on the motorway while you were learning, ask your instructor to take you for a lesson on the motorway when you've passed your test. Alternatively, you could take part in the Pass Plus scheme. This has been created for new drivers and includes motorway driving. Ask your instructor for details.","29/01/2016:  Continuation question re-written for accessibility
14/9/2017:  Changes to ensure the question is correct thru 2018 when learners are being allowed to practice on the motorway.
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contractions",,,,,,,,,,,,"DES s2, HC r253"
BB1688,Motorway rules ,D,Your vehicle breaks down on a motorway and you manage to stop on the hard shoulder. What should you do if you use your mobile phone to call for help?,Mark one answer,Stand at the rear of the vehicle while making the call,Phone a friend and ask them to come and collect you,Wait in the car for the emergency services to arrive,Check your location from the nearest marker posts beside the hard shoulder,You should use an emergency telephone when you break down on the motorway; only use your mobile if this is not possible. The emergency services need to know your exact location so they can reach you as quickly as possible. Look for a number on the nearest marker post beside the hard shoulder. Give this number when you call the emergency services.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
25/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s15, HC r283"
